,precision,recall,f1-score,support
Cardboard,0.918918918918919,0.7391304347826086,0.8192771084337349,92.0
Food Organics,0.8676470588235294,0.7195121951219512,0.7866666666666666,82.0
Glass,0.9649122807017544,0.6547619047619048,0.7801418439716312,84.0
Metal,0.8741258741258742,0.7911392405063291,0.8305647840531561,158.0
Miscellaneous Trash,0.8421052631578947,0.32323232323232326,0.46715328467153283,99.0
Paper,0.8953488372093024,0.77,0.8279569892473119,100.0
Plastic,0.540785498489426,0.9675675675675676,0.6937984496124031,185.0
Textile Trash,0.8,0.6875,0.7394957983193278,64.0
Vegetation,0.8585858585858586,0.9770114942528736,0.9139784946236559,87.0
accuracy,0.7613038906414301,0.7613038906414301,0.7613038906414301,0.7613038906414301
macro avg,0.8402699544458397,0.7366505733583953,0.7621148243999356,951.0
weighted avg,0.8135622615625454,0.7613038906414301,0.7580249829934684,951.0
