,precision,recall,f1-score,support
Cardboard,0.9722222222222222,0.7608695652173914,0.8536585365853658,92.0
Food Organics,0.9444444444444444,0.8292682926829268,0.8831168831168831,82.0
Glass,0.9571428571428572,0.7976190476190477,0.8701298701298701,84.0
Metal,0.8846153846153846,0.8734177215189873,0.8789808917197452,158.0
Miscellaneous Trash,0.8260869565217391,0.5757575757575758,0.6785714285714286,99.0
Paper,0.8543689320388349,0.88,0.8669950738916257,100.0
Plastic,0.710204081632653,0.9405405405405406,0.8093023255813954,185.0
Textile Trash,0.8088235294117647,0.859375,0.8333333333333334,64.0
Vegetation,0.8854166666666666,0.9770114942528736,0.9289617486338798,87.0
accuracy,0.843322818086225,0.843322818086225,0.843322818086225,0.843322818086225
macro avg,0.8714805638551741,0.8326510263988159,0.8447833435070584,951.0
weighted avg,0.8564262171840685,0.843322818086225,0.8419285744256992,951.0
