,precision,recall,f1-score,support
Cardboard,0.9186046511627907,0.8586956521739131,0.8876404494382022,92.0
Food Organics,0.9342105263157895,0.8658536585365854,0.8987341772151899,82.0
Glass,0.8809523809523809,0.8809523809523809,0.8809523809523809,84.0
Metal,0.8987341772151899,0.8987341772151899,0.8987341772151899,158.0
Miscellaneous Trash,0.7777777777777778,0.6363636363636364,0.7,99.0
Paper,0.91,0.91,0.91,100.0
Plastic,0.8009708737864077,0.8918918918918919,0.8439897698209718,185.0
Textile Trash,0.8115942028985508,0.875,0.8421052631578947,64.0
Vegetation,0.945054945054945,0.9885057471264368,0.9662921348314607,87.0
accuracy,0.8696109358569927,0.8696109358569927,0.8696109358569927,0.8696109358569927
macro avg,0.8753221705737592,0.8673330160288928,0.86982759473681,951.0
weighted avg,0.8700928621668184,0.8696109358569927,0.8683063973388878,951.0
