,precision,recall,f1-score,support
Cardboard,0.9156626506024096,0.8260869565217391,0.8685714285714285,92.0
Food Organics,0.9113924050632911,0.8780487804878049,0.8944099378881988,82.0
Glass,0.925,0.8809523809523809,0.9024390243902439,84.0
Metal,0.8987341772151899,0.8987341772151899,0.8987341772151899,158.0
Miscellaneous Trash,0.7974683544303798,0.6363636363636364,0.7078651685393258,99.0
Paper,0.8571428571428571,0.9,0.8780487804878049,100.0
Plastic,0.7990654205607477,0.9243243243243243,0.8571428571428571,185.0
Textile Trash,0.8095238095238095,0.796875,0.8031496062992126,64.0
Vegetation,0.9444444444444444,0.9770114942528736,0.96045197740113,87.0
accuracy,0.8664563617245006,0.8664563617245006,0.8664563617245006,0.8664563617245006
macro avg,0.8731593465536811,0.8575996389019943,0.8634236619928212,951.0
weighted avg,0.8676572945882582,0.8664563617245006,0.8648484958221182,951.0
