,precision,recall,f1-score,support
Cardboard,0.935064935064935,0.782608695652174,0.8520710059171598,92.0
Food Organics,0.9459459459459459,0.8536585365853658,0.8974358974358975,82.0
Glass,0.9102564102564102,0.8452380952380952,0.8765432098765432,84.0
Metal,0.8313953488372093,0.9050632911392406,0.8666666666666667,158.0
Miscellaneous Trash,0.8450704225352113,0.6060606060606061,0.7058823529411765,99.0
Paper,0.8411214953271028,0.9,0.8695652173913043,100.0
Plastic,0.7912621359223301,0.8810810810810811,0.8337595907928389,185.0
Textile Trash,0.7857142857142857,0.859375,0.8208955223880597,64.0
Vegetation,0.8958333333333334,0.9885057471264368,0.9398907103825137,87.0
accuracy,0.8517350157728707,0.8517350157728707,0.8517350157728707,0.8517350157728707
macro avg,0.8646293681040848,0.8468434503203333,0.8514122415324623,951.0
weighted avg,0.8557269989131449,0.8517350157728707,0.849564083396616,951.0
