True Class,Predicted Class,Count,Percentage of True Class
Paper,Cardboard,39,39.0
Miscellaneous Trash,Plastic,32,32.323232323232325
Metal,Cardboard,31,19.62025316455696
Metal,Plastic,29,18.354430379746837
Plastic,Cardboard,26,14.054054054054054
Food Organics,Vegetation,22,26.82926829268293
Plastic,Food Organics,20,10.81081081081081
Glass,Plastic,19,22.61904761904762
Glass,Cardboard,19,22.61904761904762
Paper,Metal,15,15.0
Metal,Textile Trash,14,8.860759493670885
Paper,Plastic,13,13.0
Food Organics,Plastic,13,15.853658536585366
Miscellaneous Trash,Cardboard,12,12.121212121212121
Vegetation,Food Organics,12,13.793103448275861
Miscellaneous Trash,Paper,11,11.11111111111111
Plastic,Paper,11,5.9459459459459465
Plastic,Metal,11,5.9459459459459465
Textile Trash,Plastic,11,17.1875
Miscellaneous Trash,Food Organics,11,11.11111111111111
Cardboard,Paper,10,10.869565217391305
Plastic,Textile Trash,9,4.864864864864865
Glass,Food Organics,8,9.523809523809524
Textile Trash,Food Organics,8,12.5
Miscellaneous Trash,Textile Trash,8,8.080808080808081
Textile Trash,Cardboard,7,10.9375
Miscellaneous Trash,Vegetation,7,7.07070707070707
Vegetation,Miscellaneous Trash,7,8.045977011494253
Vegetation,Paper,7,8.045977011494253
Cardboard,Food Organics,7,7.608695652173914
Cardboard,Plastic,7,7.608695652173914
Textile Trash,Paper,6,9.375
Textile Trash,Metal,6,9.375
Paper,Food Organics,6,6.0
Food Organics,Miscellaneous Trash,6,7.317073170731707
Miscellaneous Trash,Metal,6,6.0606060606060606
Cardboard,Metal,5,5.434782608695652
Glass,Vegetation,5,5.952380952380952
Glass,Miscellaneous Trash,5,5.952380952380952
Plastic,Miscellaneous Trash,5,2.7027027027027026
Glass,Textile Trash,4,4.761904761904762
Plastic,Glass,4,2.1621621621621623
Metal,Food Organics,4,2.5316455696202533
Plastic,Vegetation,4,2.1621621621621623
Paper,Textile Trash,4,4.0
Metal,Paper,3,1.89873417721519
Textile Trash,Vegetation,3,4.6875
Cardboard,Vegetation,2,2.1739130434782608
Glass,Paper,2,2.380952380952381
Metal,Glass,2,1.2658227848101267
Glass,Metal,2,2.380952380952381
Metal,Miscellaneous Trash,2,1.2658227848101267
Textile Trash,Miscellaneous Trash,2,3.125
Cardboard,Textile Trash,2,2.1739130434782608
Paper,Vegetation,1,1.0
Metal,Vegetation,1,0.6329113924050633
Paper,Glass,1,1.0
Food Organics,Metal,1,1.2195121951219512
Food Organics,Paper,1,1.2195121951219512
Vegetation,Textile Trash,1,1.1494252873563218
