True Class,Predicted Class,Count,Percentage of True Class
Plastic,Metal,27,14.594594594594595
Miscellaneous Trash,Metal,14,14.14141414141414
Metal,Plastic,14,8.860759493670885
Glass,Metal,13,15.476190476190476
Miscellaneous Trash,Plastic,13,13.131313131313133
Miscellaneous Trash,Textile Trash,11,11.11111111111111
Cardboard,Paper,11,11.956521739130435
Textile Trash,Metal,11,17.1875
Glass,Plastic,10,11.904761904761903
Paper,Metal,9,9.0
Textile Trash,Miscellaneous Trash,8,12.5
Plastic,Glass,7,3.783783783783784
Paper,Plastic,7,7.000000000000001
Food Organics,Miscellaneous Trash,7,8.536585365853659
Paper,Cardboard,7,7.000000000000001
Miscellaneous Trash,Food Organics,7,7.07070707070707
Food Organics,Plastic,6,7.317073170731707
Cardboard,Plastic,6,6.521739130434782
Food Organics,Vegetation,6,7.317073170731707
Paper,Miscellaneous Trash,5,5.0
Cardboard,Miscellaneous Trash,5,5.434782608695652
Miscellaneous Trash,Vegetation,5,5.05050505050505
Metal,Miscellaneous Trash,4,2.5316455696202533
Plastic,Miscellaneous Trash,4,2.1621621621621623
Paper,Textile Trash,4,4.0
Cardboard,Metal,4,4.3478260869565215
Textile Trash,Paper,3,4.6875
Cardboard,Vegetation,3,3.260869565217391
Miscellaneous Trash,Paper,3,3.0303030303030303
Plastic,Textile Trash,3,1.6216216216216217
Plastic,Paper,2,1.0810810810810811
Vegetation,Food Organics,2,2.2988505747126435
Plastic,Cardboard,2,1.0810810810810811
Textile Trash,Vegetation,2,3.125
Vegetation,Miscellaneous Trash,2,2.2988505747126435
Glass,Vegetation,2,2.380952380952381
Metal,Glass,2,1.2658227848101267
Glass,Miscellaneous Trash,2,2.380952380952381
Paper,Glass,1,1.0
Vegetation,Metal,1,1.1494252873563218
Cardboard,Textile Trash,1,1.0869565217391304
Food Organics,Metal,1,1.2195121951219512
Textile Trash,Plastic,1,1.5625
Food Organics,Textile Trash,1,1.2195121951219512
Textile Trash,Cardboard,1,1.5625
Cardboard,Glass,1,1.0869565217391304
Metal,Cardboard,1,0.6329113924050633
Metal,Paper,1,0.6329113924050633
Metal,Vegetation,1,0.6329113924050633
Miscellaneous Trash,Cardboard,1,1.0101010101010102
Miscellaneous Trash,Glass,1,1.0101010101010102
Paper,Vegetation,1,1.0
Cardboard,Food Organics,1,1.0869565217391304
