True Class,Predicted Class,Count,Percentage of True Class
Vegetation,Miscellaneous Trash,46,52.87356321839081
Food Organics,Miscellaneous Trash,31,37.80487804878049
Plastic,Metal,28,15.135135135135137
Miscellaneous Trash,Textile Trash,23,23.232323232323232
Cardboard,Paper,22,23.91304347826087
Glass,Metal,20,23.809523809523807
Cardboard,Miscellaneous Trash,18,19.565217391304348
Glass,Plastic,17,20.238095238095237
Vegetation,Textile Trash,16,18.39080459770115
Plastic,Miscellaneous Trash,14,7.567567567567568
Metal,Plastic,13,8.227848101265822
Food Organics,Textile Trash,12,14.634146341463413
Textile Trash,Paper,10,15.625
Cardboard,Metal,10,10.869565217391305
Food Organics,Plastic,10,12.195121951219512
Plastic,Glass,8,4.324324324324325
Textile Trash,Miscellaneous Trash,7,10.9375
Metal,Miscellaneous Trash,6,3.79746835443038
Cardboard,Textile Trash,6,6.521739130434782
Glass,Miscellaneous Trash,5,5.952380952380952
Vegetation,Plastic,5,5.747126436781609
Cardboard,Plastic,5,5.434782608695652
Paper,Textile Trash,5,5.0
Miscellaneous Trash,Paper,5,5.05050505050505
Food Organics,Metal,4,4.878048780487805
Paper,Metal,4,4.0
Textile Trash,Metal,4,6.25
Paper,Plastic,4,4.0
Paper,Miscellaneous Trash,4,4.0
Miscellaneous Trash,Metal,3,3.0303030303030303
Plastic,Paper,3,1.6216216216216217
Miscellaneous Trash,Food Organics,3,3.0303030303030303
Plastic,Food Organics,3,1.6216216216216217
Metal,Textile Trash,3,1.89873417721519
Paper,Food Organics,3,3.0
Glass,Cardboard,2,2.380952380952381
Vegetation,Glass,2,2.2988505747126435
Metal,Paper,2,1.2658227848101267
Miscellaneous Trash,Plastic,2,2.0202020202020203
Plastic,Textile Trash,2,1.0810810810810811
Food Organics,Glass,2,2.4390243902439024
Food Organics,Paper,2,2.4390243902439024
Glass,Paper,2,2.380952380952381
Miscellaneous Trash,Vegetation,2,2.0202020202020203
Textile Trash,Food Organics,1,1.5625
Textile Trash,Glass,1,1.5625
Miscellaneous Trash,Glass,1,1.0101010101010102
Food Organics,Vegetation,1,1.2195121951219512
Textile Trash,Plastic,1,1.5625
Metal,Food Organics,1,0.6329113924050633
Paper,Cardboard,1,1.0
