epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,174.857,1.71651,0.62992,0.98163,1.04779,0.0670771,0.000332555,0.000332555
2,249.442,1.31259,0.71391,0.98425,0.80091,0.0340769,0.000665724,0.000665724
3,322.011,1.14569,0.72703,0.979,0.80995,0.00107612,0.000998235,0.000998235
4,394.75,1.03041,0.74541,0.98163,0.72602,0.000997781,0.000997781,0.000997781
5,467.074,0.94938,0.79528,0.99475,0.61297,0.000996058,0.000996058,0.000996058
6,538.791,0.87551,0.79003,0.98425,0.61331,0.000993845,0.000993845,0.000993845
7,611.776,0.82469,0.82415,0.9895,0.54823,0.000991145,0.000991145,0.000991145
8,683.649,0.80369,0.7979,0.9895,0.60936,0.00098796,0.00098796,0.00098796
9,755.286,0.74451,0.83465,0.99738,0.51986,0.000984293,0.000984293,0.000984293
10,829.431,0.68163,0.83465,0.99738,0.47624,0.000980149,0.000980149,0.000980149
11,899.954,0.65009,0.8399,0.9895,0.51107,0.000975531,0.000975531,0.000975531
12,971.551,0.61312,0.8294,0.99475,0.51694,0.000970443,0.000970443,0.000970443
13,1045.33,0.58581,0.8294,0.99475,0.54692,0.000964892,0.000964892,0.000964892
14,1116.64,0.59369,0.83202,0.99738,0.49728,0.000958881,0.000958881,0.000958881
15,1188.42,0.55826,0.8399,0.99475,0.47353,0.000952418,0.000952418,0.000952418
16,1259.66,0.52341,0.8294,0.99738,0.46227,0.000945509,0.000945509,0.000945509
17,1332.15,0.49558,0.85039,0.99738,0.43675,0.00093816,0.00093816,0.00093816
18,1403.49,0.48995,0.87664,0.99213,0.40166,0.000930378,0.000930378,0.000930378
19,1476.3,0.45338,0.85564,0.99738,0.43464,0.000922172,0.000922172,0.000922172
20,1550.69,0.43961,0.86089,0.99475,0.48123,0.000913549,0.000913549,0.000913549
21,1624.55,0.41226,0.87402,0.99738,0.36858,0.000904518,0.000904518,0.000904518
22,1696.28,0.41694,0.86614,0.99213,0.43671,0.000895088,0.000895088,0.000895088
23,1768.08,0.40582,0.87139,0.99475,0.40778,0.000885268,0.000885268,0.000885268
24,1842.57,0.38018,0.84514,0.99738,0.50863,0.000875068,0.000875068,0.000875068
25,1914.05,0.38256,0.86877,0.99475,0.43438,0.000864498,0.000864498,0.000864498
26,1985.29,0.3689,0.85302,0.99738,0.45568,0.000853568,0.000853568,0.000853568
27,2060.18,0.33086,0.85302,0.99738,0.52618,0.000842289,0.000842289,0.000842289
28,2131.18,0.32575,0.87664,0.99475,0.42325,0.000830673,0.000830673,0.000830673
29,2204.5,0.35474,0.86352,0.99738,0.48904,0.00081873,0.00081873,0.00081873
30,2277.83,0.2994,0.85302,0.99475,0.47398,0.000806473,0.000806473,0.000806473
31,2350.81,0.29317,0.88189,0.99738,0.45316,0.000793913,0.000793913,0.000793913
32,2423.19,0.29115,0.88714,0.99738,0.40379,0.000781064,0.000781064,0.000781064
33,2494.65,0.27715,0.88714,0.99738,0.44083,0.000767937,0.000767937,0.000767937
34,2568.96,0.27099,0.86614,1,0.44833,0.000754545,0.000754545,0.000754545
35,2639.76,0.2767,0.89239,0.99738,0.42983,0.000740903,0.000740903,0.000740903
36,2714.43,0.25819,0.85827,0.99738,0.46699,0.000727023,0.000727023,0.000727023
37,2785.73,0.24365,0.86614,0.99738,0.5187,0.000712918,0.000712918,0.000712918
38,2857.36,0.22412,0.87927,0.99738,0.44553,0.000698604,0.000698604,0.000698604
39,2929.46,0.21659,0.87139,1,0.46854,0.000684094,0.000684094,0.000684094
40,3000.91,0.22332,0.87139,1,0.44857,0.000669402,0.000669402,0.000669402
41,3075.1,0.21675,0.86352,0.99738,0.4867,0.000654543,0.000654543,0.000654543
42,3149.29,0.20121,0.88451,0.99475,0.48677,0.000639532,0.000639532,0.000639532
43,3222.18,0.19243,0.85564,0.99475,0.4751,0.000624383,0.000624383,0.000624383
44,3292.71,0.18597,0.87664,1,0.44512,0.000609111,0.000609111,0.000609111
45,3363.23,0.19983,0.87139,0.99738,0.48618,0.000593731,0.000593731,0.000593731
46,3433.97,0.16113,0.88976,0.99738,0.43052,0.000578259,0.000578259,0.000578259
47,3506.32,0.1634,0.86352,0.99475,0.47426,0.00056271,0.00056271,0.00056271
48,3577.11,0.15618,0.88714,0.99475,0.45115,0.000547099,0.000547099,0.000547099
49,3645.85,0.16892,0.90026,0.99475,0.42066,0.000531442,0.000531442,0.000531442
50,3719.5,0.142,0.88976,0.99738,0.38754,0.000515754,0.000515754,0.000515754
51,3792.79,0.16568,0.89239,0.99738,0.45291,0.00050005,0.00050005,0.00050005
52,3863.84,0.13903,0.87139,0.99738,0.47379,0.000484346,0.000484346,0.000484346
53,3935.84,0.13541,0.88976,0.99475,0.41031,0.000468658,0.000468658,0.000468658
54,4009.99,0.12659,0.87664,0.99738,0.48805,0.000453001,0.000453001,0.000453001
55,4082.35,0.12577,0.87664,0.99738,0.52286,0.00043739,0.00043739,0.00043739
56,4153.43,0.13218,0.87664,0.99738,0.52814,0.000421841,0.000421841,0.000421841
57,4225.86,0.11093,0.87664,0.99475,0.51388,0.000406369,0.000406369,0.000406369
58,4301.91,0.12055,0.88714,0.99738,0.48754,0.000390989,0.000390989,0.000390989
59,4375.4,0.11276,0.89501,0.99738,0.48538,0.000375717,0.000375717,0.000375717
60,4448.46,0.10063,0.87927,0.99738,0.41008,0.000360568,0.000360568,0.000360568
61,4522.52,0.1069,0.88451,0.99213,0.41538,0.000345557,0.000345557,0.000345557
62,4594.84,0.10133,0.88451,0.99738,0.42342,0.000330698,0.000330698,0.000330698
63,4667.2,0.11129,0.88714,0.99213,0.48871,0.000316006,0.000316006,0.000316006
64,4739.65,0.09128,0.89239,0.99475,0.43646,0.000301496,0.000301496,0.000301496
