epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,67.6278,1.58023,0.65617,0.979,0.98092,0.0670771,0.000332555,0.000332555
2,140.178,1.19874,0.74016,0.98425,0.75229,0.0340769,0.000665724,0.000665724
3,212.214,1.01818,0.74016,0.98163,0.74682,0.00107612,0.000998235,0.000998235
4,285.202,0.92096,0.76378,0.99213,0.67223,0.000997781,0.000997781,0.000997781
5,358.858,0.82876,0.80577,0.99475,0.58768,0.000996058,0.000996058,0.000996058
6,432.601,0.75589,0.81102,0.99738,0.51493,0.000993845,0.000993845,0.000993845
7,505.75,0.69469,0.80315,0.98688,0.5584,0.000991145,0.000991145,0.000991145
8,577.333,0.67205,0.83465,0.99475,0.50851,0.00098796,0.00098796,0.00098796
9,652.194,0.61026,0.83465,0.99738,0.48496,0.000984293,0.000984293,0.000984293
10,724.627,0.55751,0.83727,0.99213,0.53126,0.000980149,0.000980149,0.000980149
11,796.688,0.54052,0.86614,0.99475,0.4495,0.000975531,0.000975531,0.000975531
12,869.252,0.50237,0.86877,0.99213,0.43428,0.000970443,0.000970443,0.000970443
13,943.801,0.47922,0.86877,1,0.41586,0.000964892,0.000964892,0.000964892
14,1017.58,0.46678,0.83202,0.99738,0.51242,0.000958881,0.000958881,0.000958881
15,1091.34,0.45358,0.86089,0.99738,0.43049,0.000952418,0.000952418,0.000952418
16,1163.31,0.39382,0.84252,0.99475,0.47147,0.000945509,0.000945509,0.000945509
17,1236.76,0.40555,0.85302,0.99475,0.5072,0.00093816,0.00093816,0.00093816
18,1309.75,0.41098,0.86877,1,0.42376,0.000930378,0.000930378,0.000930378
19,1384.06,0.34137,0.85564,0.99738,0.41807,0.000922172,0.000922172,0.000922172
20,1457.05,0.31605,0.85039,0.99475,0.5028,0.000913549,0.000913549,0.000913549
21,1529.66,0.32335,0.85564,0.99738,0.41978,0.000904518,0.000904518,0.000904518
22,1605.07,0.29843,0.87402,1,0.4149,0.000895088,0.000895088,0.000895088
23,1677.48,0.27634,0.88189,0.99475,0.43265,0.000885268,0.000885268,0.000885268
24,1751.06,0.26894,0.86352,1,0.4433,0.000875068,0.000875068,0.000875068
25,1823.7,0.25894,0.89239,0.99213,0.41977,0.000864498,0.000864498,0.000864498
26,1896.23,0.25373,0.86089,0.99738,0.52078,0.000853568,0.000853568,0.000853568
27,1969.2,0.2304,0.88451,1,0.41735,0.000842289,0.000842289,0.000842289
28,2043.11,0.22842,0.90289,0.99738,0.39549,0.000830673,0.000830673,0.000830673
29,2115.09,0.24316,0.84777,0.99475,0.50659,0.00081873,0.00081873,0.00081873
30,2187.31,0.22203,0.89501,0.99475,0.42425,0.000806473,0.000806473,0.000806473
31,2260.95,0.18781,0.88451,0.99738,0.46764,0.000793913,0.000793913,0.000793913
32,2333.02,0.17145,0.89239,0.99738,0.47979,0.000781064,0.000781064,0.000781064
33,2405.29,0.18931,0.88976,0.99475,0.53814,0.000767937,0.000767937,0.000767937
34,2479.7,0.17481,0.88976,0.99738,0.45617,0.000754545,0.000754545,0.000754545
35,2553.75,0.14878,0.88976,0.99738,0.50658,0.000740903,0.000740903,0.000740903
36,2625.55,0.16977,0.86877,0.99213,0.65496,0.000727023,0.000727023,0.000727023
37,2698.09,0.15132,0.88189,0.99475,0.53858,0.000712918,0.000712918,0.000712918
38,2770.21,0.14093,0.89501,0.99738,0.39792,0.000698604,0.000698604,0.000698604
39,2843.1,0.133,0.89501,0.99738,0.48456,0.000684094,0.000684094,0.000684094
40,2916.07,0.11752,0.88976,0.99475,0.48809,0.000669402,0.000669402,0.000669402
41,2988.19,0.13069,0.87664,0.99213,0.49551,0.000654543,0.000654543,0.000654543
42,3061.3,0.11944,0.88976,0.99738,0.48144,0.000639532,0.000639532,0.000639532
43,3133.83,0.11654,0.89764,0.99738,0.38809,0.000624383,0.000624383,0.000624383
